# DuoCloud.net GeoFeed (Google ISP),,,,
# Email: admin@duocloud.net,,,,
# Last Updated: 2024/05/13 21:22:40,,,,
2a13:df80:7c30::/44,JP,JP-13,Tokyo,197-0826
2a13:df80:7c80::/44,SG,SG-01,Singapore,499940
45.158.59.0/24,SG,SG-01,Singapore,499940
163.5.148.0/24,JP,JP-13,Tokyo,197-0826
213.130.140.0/24,HK,,Kowloon,999077
213.130.141.0/24,HK,,Kowloon,999077
2a13:82c3::/32,HK,,Kowloon,999077
82.153.157.0/24,GB,GB-ENG,England,CM22
2a13:82c4:fc30::/44,GB,GB-ENG,England,CM22
2a13:82c4:ff00::/48,AF,AF-KAN,Kandahar,3859
2a13:82c4:ff01::/48,AM,AM-GR,Garhwal,65120
2a13:82c4:ff02::/48,AZ,AZ-NX,Nakhchivan,6827
2a13:82c4:ff03::/48,BH,BH-13,Capital Province,973
2a13:82c4:ff04::/48,BD,BD-A,Barisal,103
2a13:82c4:ff05::/48,BT,,Bhutan,
2a13:82c4:ff06::/48,BN,,Brunei Darussalam,
2a13:82c4:ff07::/48,KH,,Cambodia,
2a13:82c4:ff08::/48,CX,,Christmas Island,
2a13:82c4:ff09::/48,CC,,Cocos (Keeling) Islands,
2a13:82c4:ff0a::/48,CY,CY-01,Nicosia District,1010
2a13:82c4:ff0b::/48,EG,,Egypt,999060
2a13:82c4:ff0c::/48,GE,,Georgia,100
2a13:82c4:ff0d::/48,IN,IN-AP,andhra pradesh,524001
2a13:82c4:ff0e::/48,ID,ID-AC,Aceh,24111
2a13:82c4:ff0f::/48,IR,,Iran,
2a13:82c4:ff10::/48,IQ,,Iraq,
2a13:82c4:ff11::/48,PS,,Palestine,
2a13:82c4:ff12::/48,JO,,Jordan,
2a13:82c4:ff13::/48,KZ,,Kazakhstan,
2a13:82c4:ff14::/48,KP,KP-01,Pyongyang,999093
2a13:82c4:ff15::/48,KR,KR-11,Seoul,136
2a13:82c4:ff16::/48,KW,,Kuwait,
2a13:82c4:ff17::/48,KG,,Kyrgyzstan,
2a13:82c4:ff18::/48,LA,,Laos,
2a13:82c4:ff19::/48,LB,,Lebanon,
2a13:82c4:ff1a::/48,MO,,Macau,
2a13:82c4:ff1b::/48,MY,MY-14,Kuala Lumpur,43200
2a13:82c4:ff1c::/48,MV,,Maldives,
2a13:82c4:ff1d::/48,MN,,Mongolia,
2a13:82c4:ff1e::/48,MM,,Myanmar,
2a13:82c4:ff1f::/48,NP,,Nepal,
80.93.203.0/24,GB,GB-ENG,England,CM22
2a13:82c4:fc90::/44,GB,GB-ENG,England,CM22
23.94.129.0/24,US,US-UT,Utah,82930
2a13:82c4:fc40::/44,US,US-UT,Utah,82930
2a13:82c4:fca0::/44,GB,GB-ENG,England,CM22
5.83.221.0/24,HK,,Kowloon,999077
2a13:82c4:fcb0::/44,HK,,Kowloon,999077
80.93.193.0/24,GB,GB-ENG,England,CM22
82.152.105.0/24,HK,,Kowloon,999077
2a13:82c4:fcc0::/44,HK,,Kowloon,999077
