# MoeChuang GeoFeed (AS215672),,,,
# Email: admin@duocloud.net,,,,
# Last Updated: 2024-05-12 21:22:40,,,,
# IPV6 Subnet 2a13:df80:7c00::/40 Server usage,,,,
2a11:29c0:35::/48,HK,,Kowloon,999077
2a13:df80:7c00::/44,HK,,Kowloon,999077
2a13:df80:7c10::/44,HK,,Kowloon,999077
2a13:df80:7c20::/44,TW,TW-TPE,Taipei City,104001
2a13:df80:7c30::/44,JP,JP-13,Tokyo,197-0826
2a13:df80:7c40::/44,US,US-OR,Oregon,97814
2a13:df80:7c50::/44,AU,AU-QLD,Queensland,4880
2a13:df80:7c60::/44,GB,GB-ENG,England,CM22
2a13:df80:7c70::/44,MY,MY-14,Kuala Lumpur,68100
2a13:df80:7c80::/44,SG,SG-01,Singapore,499940
2a13:df80:7c90::/44,KR,KR-11,Seoul Special City,8700
2a13:df80:7ca0::/44,DE,DE-BE,Berlin,10178
2a13:df80:7cb0::/44,CA,CA-ON,Ontario,M3B
2a13:df80:7cc0::/44,SG,SG-01,Singapore,499940
2a13:df80:7cd0::/44,CH,CH-ZH,Zurich,
2a13:df80:7ce0::/44,US,US-OR,Oregon,97814
# IPV6 Subnet 2a13:82c4:fc00::/40 Server usage,,,,
2a13:82c4:fc00::/44,HK,,Kowloon,999077
2a13:82c4:fc10::/44,JP,JP-13,Tokyo,197-0826
2a13:82c4:fc20::/44,SG,SG-01,Singapore,499940
2a13:82c4:fc30::/44,GB,GB-ENG,England,CM22
2a13:82c4:fc40::/44,US,US-OR,Oregon,97814
2a13:82c4:fc50::/44,TW,TW-TPE,Taipei City,104001
2a13:82c4:fc60::/44,FR,FR-01,Ain,1680
2a13:82c4:fc70::/44,CA,CA-ON,Ontario,M3B
2a13:82c4:fc80::/44,DE,DE-BE,Berlin,10178
2a13:82c4:fc90::/44,GB,GB-ENG,England,CM22
2a13:82c4:fca0::/44,HK,,Kowloon,999077
# IPV4 Subnet Server usage,,,,
45.158.59.0/24,SG,SG-01,Singapore,499940
89.213.219.0/24,HK,,Kowloon,999077
163.5.148.0/24,JP,JP-13,Tokyo,197-0826
82.153.157.0/24,GB,GB-ENG,England,CM22
23.94.129.0/24,US,US-OR,Oregon,97814
80.93.203.0/24,GB,GB-ENG,England,CM22
5.83.221.0/24,HK,,Kowloon,999077
# IPV6 Subnet 2a13:82c4:ff00::/40 Server usage,,,,
2a13:82c4:ff00::/48,AF,AF-KAN,Kandahar,3859
2a13:82c4:ff01::/48,AM,AM-GR,Garhwal,65120
2a13:82c4:ff02::/48,AZ,AZ-NX,Nakhchivan,6827
2a13:82c4:ff03::/48,BH,BH-13,Capital Province,973
2a13:82c4:ff04::/48,BD,BD-A,Barisal,103
2a13:82c4:ff05::/48,BT,,Bhutan,
2a13:82c4:ff06::/48,BN,,Brunei Darussalam,
2a13:82c4:ff07::/48,KH,,Cambodia,
2a13:82c4:ff08::/48,CX,,Christmas Island,
2a13:82c4:ff09::/48,CC,,Cocos (Keeling) Islands,
2a13:82c4:ff0a::/48,CY,CY-01,Nicosia District,1010
2a13:82c4:ff0b::/48,EG,,Egypt,999060
2a13:82c4:ff0c::/48,GE,,Georgia,100
2a13:82c4:ff0d::/48,IN,IN-AP,andhra pradesh,524001
2a13:82c4:ff0e::/48,ID,ID-AC,Aceh,24111
2a13:82c4:ff0f::/48,IR,,Iran,
2a13:82c4:ff10::/48,IQ,,Iraq,
2a13:82c4:ff11::/48,PS,,Palestine,
2a13:82c4:ff12::/48,JO,,Jordan,
2a13:82c4:ff13::/48,KZ,,Kazakhstan,
2a13:82c4:ff14::/48,KP,KP-01,Pyongyang,999093
2a13:82c4:ff15::/48,KR,KR-11,Seoul,136
2a13:82c4:ff16::/48,KW,,Kuwait,
2a13:82c4:ff17::/48,KG,,Kyrgyzstan,
2a13:82c4:ff18::/48,LA,,Laos,
2a13:82c4:ff19::/48,LB,,Lebanon,
2a13:82c4:ff1a::/48,MO,,Macau,
2a13:82c4:ff1b::/48,MY,MY-14,Kuala Lumpur,43200
2a13:82c4:ff1c::/48,MV,,Maldives,
2a13:82c4:ff1d::/48,MN,,Mongolia,
2a13:82c4:ff1e::/48,MM,,Myanmar,
2a13:82c4:ff1f::/48,NP,,Nepal,
2a13:82c4:ff20::/48,OM,,Oman,
2a13:82c4:ff21::/48,IL,IL-D,HaDarom,8400100
2a13:82c4:ff22::/48,PK,,Pakistan,
2a13:82c4:ff23::/48,PH,,Philippines,
2a13:82c4:ff24::/48,QA,,Qatar,
2a13:82c4:ff25::/48,SA,,Saudi Arabia,
2a13:82c4:ff26::/48,LK,,Sri Lanka,
2a13:82c4:ff27::/48,SY,,Syrian Arab Republic,
2a13:82c4:ff28::/48,TJ,,Tajikistan,
2a13:82c4:ff29::/48,TH,,Thailand,
2a13:82c4:ff2a::/48,TL,,Timor-Leste,
2a13:82c4:ff2b::/48,TM,TM-B,Balkan region,745000
2a13:82c4:ff2c::/48,AE,AE-DU,Dubai,25314
2a13:82c4:ff2d::/48,UZ,,Uzbekistan,
2a13:82c4:ff2e::/48,VN,,Viet Nam,
2a13:82c4:ff2f::/48,YE,,Yemen,
2a13:82c4:ff30::/48,AQ,,Antarctica,
2a13:82c4:ff31::/48,AU,AU-QLD,Queensland,4132
2a13:82c4:ff32::/48,NZ,,New Zealand,
2a13:82c4:ff33::/48,PG,,Papua New Guinea,
2a13:82c4:ff34::/48,SB,,Solomon Islands,
2a13:82c4:ff35::/48,VU,,Vanuatu,
2a13:82c4:ff36::/48,FJ,FJ-C,Central Division,
2a13:82c4:ff37::/48,PW,,Palau,
2a13:82c4:ff38::/48,FM,,"Micronesia, Federated States of",
2a13:82c4:ff39::/48,MH,,Marshall Islands,
2a13:82c4:ff3a::/48,KI,KI-G,Gilbert Islands,
2a13:82c4:ff3b::/48,NR,,Nauru,
2a13:82c4:ff3c::/48,TV,,Tuvalu,
2a13:82c4:ff3d::/48,WS,,Samoa,
2a13:82c4:ff3e::/48,TO,,Tonga,
2a13:82c4:ff3f::/48,NU,,Niue,
2a13:82c4:ff40::/48,CK,,Cook Islands,
2a13:82c4:ff41::/48,MP,,Northern Mariana Islands,
2a13:82c4:ff42::/48,GU,,Guam,
2a13:82c4:ff43::/48,NF,,Norfolk Island,
2a13:82c4:ff44::/48,NC,,New Caledonia,
2a13:82c4:ff45::/48,TK,,Tokelau,
2a13:82c4:ff46::/48,WF,,Wallis and Futuna,
2a13:82c4:ff47::/48,AS,,American Samoa,
2a13:82c4:ff48::/48,PF,,French Polynesia,
2a13:82c4:ff49::/48,PN,,Pitcairn,
2a13:82c4:ff4a::/48,DZ,,Algeria,
2a13:82c4:ff4b::/48,AO,AO-BGO,Bengo,430048
2a13:82c4:ff4c::/48,BJ,,Benin,
2a13:82c4:ff4d::/48,BW,,Botswana,
2a13:82c4:ff4e::/48,EH,,Western Sahara,
2a13:82c4:ff4f::/48,BF,BF-01,Boucle du Mouhoun,
2a13:82c4:ff50::/48,BI,,Burundi,
2a13:82c4:ff51::/48,CM,,Cameroon,
2a13:82c4:ff52::/48,CV,,Cabo Verde,
2a13:82c4:ff53::/48,CF,,Central African Republic,
2a13:82c4:ff54::/48,KM,KM-A,anjouan i.,
2a13:82c4:ff55::/48,CI,CI-01,lagoon area,
2a13:82c4:ff56::/48,CD,,"Congo, the Democratic Republic of the",
2a13:82c4:ff57::/48,DJ,DJ-DJ,Djibouti,
2a13:82c4:ff58::/48,GQ,,Equatorial Guinea,
2a13:82c4:ff59::/48,ER,,Eritrea,
2a13:82c4:ff5a::/48,ET,,Ethiopia,
2a13:82c4:ff5b::/48,GA,GA-1,Estuaire,
2a13:82c4:ff5c::/48,GM,GM-B,Banjul,
2a13:82c4:ff5d::/48,GH,,Ghana,
2a13:82c4:ff5e::/48,GN,,Guinea,
2a13:82c4:ff5f::/48,GW,,Guinea-Bissau,
2a13:82c4:ff60::/48,KE,,Kenya,
2a13:82c4:ff61::/48,LS,LS-A,Maseru District,
2a13:82c4:ff62::/48,LR,,Liberia,
2a13:82c4:ff63::/48,LY,,Libya,
2a13:82c4:ff64::/48,MG,MG-A,Toamahira Province,
2a13:82c4:ff65::/48,MW,,Malawi,
2a13:82c4:ff66::/48,ML,,Mali,
2a13:82c4:ff67::/48,MR,,Mauritania,
2a13:82c4:ff68::/48,MU,,Mauritius,
2a13:82c4:ff69::/48,YT,,Mayotte,
2a13:82c4:ff6a::/48,MA,,Morocco,
2a13:82c4:ff6b::/48,MZ,,Mozambique,
2a13:82c4:ff6c::/48,NA,,Namibia,
2a13:82c4:ff6d::/48,NE,NE-1,Agadez,
2a13:82c4:ff6e::/48,NG,,Nigeria,
2a13:82c4:ff6f::/48,CG,,Congo,
2a13:82c4:ff70::/48,RE,,,
2a13:82c4:ff71::/48,RW,RW-01,Kigali,
2a13:82c4:ff72::/48,ST,,,
2a13:82c4:ff73::/48,SN,,Senegal,
2a13:82c4:ff74::/48,SC,,Seychelles,
2a13:82c4:ff75::/48,SL,SL-E,Sierra Leone,
2a13:82c4:ff76::/48,SO,,Somalia,
2a13:82c4:ff77::/48,ZA,ZA-EC,Eastern Cape,
2a13:82c4:ff78::/48,SS,,South Sudan,
2a13:82c4:ff79::/48,SD,,Sudan,
